high,timestamp,volume,low,close,open
29377.77,1609473480,5.11263630,29350.97,29364.00,29372.99
29364.00,1609473540,2.67317233,29345.63,29345.63,29351.27
29399.81,1609473600,5.10856714,29351.85,29386.34,29351.85
29413.04,1609473660,5.86116360,29363.28,29407.51,29386.44
29407.51,1609473720,3.98243134,29379.40,29389.98,29407.51
29389.99,1609473780,5.20917569,29355.67,29379.90,29382.40
29386.54,1609473840,1.08672296,29366.09,29370.17,29386.54
29374.99,1609473900,2.39908323,29347.17,29365.83,29364.63
29381.56,1609473960,4.14813402,29363.59,29373.83,29365.83
29400.00,1609474020,5.08314936,29353.35,29387.52,29367.83
29399.96,1609474080,9.77676839,29375.42,29376.26,29399.94
29387.27,1609474140,0.45091678,29369.42,29372.98,29376.90
29405.28,1609474200,6.04172335,29372.95,29392.99,29380.13
29403.65,1609474260,4.86757432,29380.19,29386.75,29403.65
29387.83,1609474320,6.29207991,29364.24,29370.78,29387.83
29391.39,1609474380,0.92298188,29360.82,29384.28,29360.82
29385.00,1609474440,6.13643352,29348.20,29348.20,29379.95
29422.82,1609474500,2.05992214,29358.26,29413.65,29358.26
29437.83,1609474560,13.22563420,29410.98,29430.09,29410.98
29455.06,1609474620,11.11415279,29412.50,29415.45,29444.87
29438.71,1609474680,1.74720452,29416.95,29432.68,29419.75
29441.33,1609474740,0.84955479,29424.55,29441.33,29436.24
29441.33,1609474800,10.73761823,29395.24,29426.39,29441.33
29424.62,1609474860,5.25731507,29404.69,29412.12,29420.30
29447.86,1609474920,12.10320535,29420.49,29439.05,29420.49
29439.05,1609474980,8.07725228,29402.34,29402.34,29439.05
29431.68,1609475040,8.36604134,29392.85,29431.68,29404.78
29443.63,1609475100,2.57048542,29410.96,29429.38,29424.20
29447.62,1609475160,2.90293574,29423.72,29433.95,29429.38
29446.62,1609475220,4.37632920,29420.36,29420.36,29433.95
29442.74,1609475280,0.93529845,29421.39,29433.18,29428.04
29438.37,1609475340,7.50945451,29394.94,29406.81,29433.18
29458.27,1609475400,4.97955923,29409.76,29416.62,29409.76
29443.41,1609475460,6.24096325,29358.35,29358.35,29418.45
29398.65,1609475520,2.23128899,29369.68,29371.59,29385.10
29379.19,1609475580,10.00886410,29290.54,29310.80,29371.59
29333.55,1609475640,2.95300454,29293.48,29314.05,29293.48
29329.87,1609475700,6.33918892,29293.50,29295.83,29320.54
29316.69,1609475760,3.21731120,29293.28,29293.28,29311.12
29324.60,1609475820,9.11493829,29267.80,29296.15,29293.28
29282.52,1609475880,2.50378242,29261.85,29267.69,29281.06
29284.66,1609475940,3.88232948,29262.62,29269.51,29271.77
29272.85,1609476000,13.20598447,29260.00,29260.00,29269.76
29260.34,1609476060,16.04772707,29191.74,29191.74,29260.07
29237.02,1609476120,17.70489704,29121.80,29224.97,29191.74
